Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
BA,University of New England,Online,Bachelor of Business,"Science and Agriculture, Business and Law","28,216","14,200",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-business&auth=CwGM2I8we5EQJQ%2FTQX0HDQ&profile=_default&rank=1&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Whether you aim to build your career in small, medium or large enterprises, or launch a business of your own, you must learn to identify opportunities, rise to challenges and adapt to change. Our Bachelor of Business is uniquely positioned to help you do this.Our hands-on teaching and mentoring will transform you into a flexible all-rounder, able to apply your knowledge in a range of industries and occupations. You will hone your financial, critical analysis, decision-making and communication skills – attributes that are highly valued in any dynamic work environment. We’re highly rated. The 2021 Good Universities Guide awarded 5-star ratings to our business and management undergraduate courses for Overall Experience, Learner Engagement, Student Support, Teaching Quality, Graduate Salary, and Full-Time Employment. Year after year, students award UNE the maximum 5-star ratings for Overall Experience and Student Support, so you know you are in good hands.","You will graduate from UNE's Bachelor of Business as a flexible, all-rounder with specific skills in your chosen major. You could consider a broad range of careers in areas such as: accounting and financeagribusinesseconomicshuman resourcesmarketingbusiness analytics.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Armidale,Bachelor of Business,"Science and Agriculture, Business and Law","28,216","14,200",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-business&auth=CwGM2I8we5EQJQ%2FTQX0HDQ&profile=_default&rank=1&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Whether you aim to build your career in small, medium or large enterprises, or launch a business of your own, you must learn to identify opportunities, rise to challenges and adapt to change. Our Bachelor of Business is uniquely positioned to help you do this.Our hands-on teaching and mentoring will transform you into a flexible all-rounder, able to apply your knowledge in a range of industries and occupations. You will hone your financial, critical analysis, decision-making and communication skills – attributes that are highly valued in any dynamic work environment. We’re highly rated. The 2021 Good Universities Guide awarded 5-star ratings to our business and management undergraduate courses for Overall Experience, Learner Engagement, Student Support, Teaching Quality, Graduate Salary, and Full-Time Employment. Year after year, students award UNE the maximum 5-star ratings for Overall Experience and Student Support, so you know you are in good hands.","You will graduate from UNE's Bachelor of Business as a flexible, all-rounder with specific skills in your chosen major. You could consider a broad range of careers in areas such as: accounting and financeagribusinesseconomicshuman resourcesmarketingbusiness analytics.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Sydney,Bachelor of Business,"Science and Agriculture, Business and Law","28,216","14,200",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-business&auth=CwGM2I8we5EQJQ%2FTQX0HDQ&profile=_default&rank=1&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Whether you aim to build your career in small, medium or large enterprises, or launch a business of your own, you must learn to identify opportunities, rise to challenges and adapt to change. Our Bachelor of Business is uniquely positioned to help you do this.Our hands-on teaching and mentoring will transform you into a flexible all-rounder, able to apply your knowledge in a range of industries and occupations. You will hone your financial, critical analysis, decision-making and communication skills – attributes that are highly valued in any dynamic work environment. We’re highly rated. The 2021 Good Universities Guide awarded 5-star ratings to our business and management undergraduate courses for Overall Experience, Learner Engagement, Student Support, Teaching Quality, Graduate Salary, and Full-Time Employment. Year after year, students award UNE the maximum 5-star ratings for Overall Experience and Student Support, so you know you are in good hands.","You will graduate from UNE's Bachelor of Business as a flexible, all-rounder with specific skills in your chosen major. You could consider a broad range of careers in areas such as: accounting and financeagribusinesseconomicshuman resourcesmarketingbusiness analytics.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Online,Bachelor of Arts,"Humanities, Arts, Social Sciences and Education","26,880","11,400",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-arts&auth=fEyXEfRErTmUeglfmb9oCQ&profile=_default&rank=2&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Even though one of our longest-standing degrees, the Bachelor of Arts (BA) is still relevant in today’s rapidly changing world. It equips you with the creative, critical and analytical skills in demand by employers, and is transferable across a range of workplaces.Majors include: Ancient Greece, Ancient Rome, Ancient History, Ancient Near East, Archaeology, Australian History, Chinese, Classical Languages, Criminology, Cultural Heritage, English, French, German, History, Human Geography, Indigenous Studies, Indonesian, Islamic Studies, Italian, Japanese, Linguistics, Medieval and Early Modern Europe, Music, Peace Studies, Philosophy, Political and International Studies, Physical Geography, Psychology, Screen and Media Studies, Sociology, Spanish, Studies in Religion, Theatre and Performance, and Writing.When you study a BA at UNE, you will become a specialist in a discipline of your choice, with the freedom to explore related subjects or a range of different topics. However you decide to structure your degree, you’ll gain a range of skills that will power your agility and adaptability, both in the workplace and in life generally.  Critical thinking, research capability, ethical practice, creativity and innovation, autonomy and initiative, effective communication (presentation, management and planning skills), computer literacy, and cultural awareness; these are all outcomes of studying our Bachelor of Arts — and highly valued in the workplace.","The skills you’ll gain or hone from studying the Bachelor of Arts are transferable and valued across a wide range of workplaces and industries. Depending on your major, career paths could include positions such as: management and businesspublic relationshuman resourceslocal, state and federal governmentresearch and analysissocial and public policyeducationcreative industriesenvironmentalismforeign affairs, trade, humanitarianism.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Armidale,Bachelor of Arts,"Humanities, Arts, Social Sciences and Education","26,880","11,400",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-arts&auth=fEyXEfRErTmUeglfmb9oCQ&profile=_default&rank=2&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Even though one of our longest-standing degrees, the Bachelor of Arts (BA) is still relevant in today’s rapidly changing world. It equips you with the creative, critical and analytical skills in demand by employers, and is transferable across a range of workplaces.Majors include: Ancient Greece, Ancient Rome, Ancient History, Ancient Near East, Archaeology, Australian History, Chinese, Classical Languages, Criminology, Cultural Heritage, English, French, German, History, Human Geography, Indigenous Studies, Indonesian, Islamic Studies, Italian, Japanese, Linguistics, Medieval and Early Modern Europe, Music, Peace Studies, Philosophy, Political and International Studies, Physical Geography, Psychology, Screen and Media Studies, Sociology, Spanish, Studies in Religion, Theatre and Performance, and Writing.When you study a BA at UNE, you will become a specialist in a discipline of your choice, with the freedom to explore related subjects or a range of different topics. However you decide to structure your degree, you’ll gain a range of skills that will power your agility and adaptability, both in the workplace and in life generally.  Critical thinking, research capability, ethical practice, creativity and innovation, autonomy and initiative, effective communication (presentation, management and planning skills), computer literacy, and cultural awareness; these are all outcomes of studying our Bachelor of Arts — and highly valued in the workplace.","The skills you’ll gain or hone from studying the Bachelor of Arts are transferable and valued across a wide range of workplaces and industries. Depending on your major, career paths could include positions such as: management and businesspublic relationshuman resourceslocal, state and federal governmentresearch and analysissocial and public policyeducationcreative industriesenvironmentalismforeign affairs, trade, humanitarianism.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Online,Bachelor of Science,"Science and Agriculture, Business and Law","31,600","7,300",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-science&auth=dXqxzapTDhd2D8kPfhfgxQ&profile=_default&rank=3&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Constant technological disruption and new discoveries in science influence every aspect of our lives, meaning that there has never been a better time than now to safeguard your future career with scientific knowledge and practical skills. With 20 majors to choose from, UNE’s Bachelor of Science is flexibly delivered by experts in research and teaching. Tailor your degree towards generalist or specialist science, while developing a broad scientific base and refining your abilities in critical analysis and complex problem solving. Our majors span the pure and applied sciences, with specialisation available in traditional disciplines and emerging fields. At UNE, we have a long tradition of delivering innovative science education. Whether you want to position yourself at the forefront of innovation and discovery in science, or you are passionate about understanding how the world works, our Bachelor of Science provides you with your choice of 20 majors, with the opportunity to complete a second major or a complementary minor in communications, business or statistics. Our students come from academically diverse backgrounds, and go on to become active contributors in industry, education, government and research.","UNE’s Bachelor of Science equips you with in-demand skills and provides you with a diverse range of exciting career opportunities in industry, government, business, teaching and research.   Some of the roles you could consider include:  medical scientist or laboratory technician research scientist with government agencies such as CSIRO and ANSTO environmental protection field officer resource and land management pharmaceutical research and development  teaching and education (via our Master of Teaching (Secondary Science) or a Master of Teaching (Primary), or consider our Bachelor of Education (Secondary Science) as a quicker route to teacher registration)sustainable agricultural production.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of New England,Armidale,Bachelor of Science,"Science and Agriculture, Business and Law","31,600","7,300",AUD,Years,3.0,Years,Yes,Yes,ATAR,,,72.55,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fbachelor-of-science&auth=dXqxzapTDhd2D8kPfhfgxQ&profile=_default&rank=3&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Constant technological disruption and new discoveries in science influence every aspect of our lives, meaning that there has never been a better time than now to safeguard your future career with scientific knowledge and practical skills. With 20 majors to choose from, UNE’s Bachelor of Science is flexibly delivered by experts in research and teaching. Tailor your degree towards generalist or specialist science, while developing a broad scientific base and refining your abilities in critical analysis and complex problem solving. Our majors span the pure and applied sciences, with specialisation available in traditional disciplines and emerging fields. At UNE, we have a long tradition of delivering innovative science education. Whether you want to position yourself at the forefront of innovation and discovery in science, or you are passionate about understanding how the world works, our Bachelor of Science provides you with your choice of 20 majors, with the opportunity to complete a second major or a complementary minor in communications, business or statistics. Our students come from academically diverse backgrounds, and go on to become active contributors in industry, education, government and research.","UNE’s Bachelor of Science equips you with in-demand skills and provides you with a diverse range of exciting career opportunities in industry, government, business, teaching and research.   Some of the roles you could consider include:  medical scientist or laboratory technician research scientist with government agencies such as CSIRO and ANSTO environmental protection field officer resource and land management pharmaceutical research and development  teaching and education (via our Master of Teaching (Secondary Science) or a Master of Teaching (Primary), or consider our Bachelor of Education (Secondary Science) as a quicker route to teacher registration)sustainable agricultural production.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,University of New England,Online,Graduate Certificate in Arts,"Humanities, Arts, Social Sciences and Education","28,216","11,400",AUD,Years,4.0,Years,No,Yes,ATAR,,,,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fgraduate-certificate-in-arts&auth=2pYC%2B1IjKLQGZLKgAq5S3A&profile=_default&rank=4&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Are you a graduate looking to add new skills to your CV to reinforce or redirect your career? Perhaps you are keen to pursue a personal interest in the arts or humanities. Or maybe you are interested in completing a master’s but aren’t sure if you can commit to a full degree. If any of the above fits your situation, the Graduate Certificate in Arts may be the perfect course for you.Majors include: Ancient Greece, Ancient History, Ancient Near East, Ancient Rome, Archaeology, Chinese Studies, Classical Languages, English, Geography, German Studies, History, Italian Studies, Japanese Studies, Linguistics, Media and Communications, Medieval and Modern European Studies, Peace Studies, Philosophy, Political and International Studies, Sociology, Studies in Religion, Theatre and Performance, Water Sustainability and Writing.In addition, you will be trained to discover and process information, think independently, communicate effectively, and exercise initiative. Our course allows you to refine professional skills in an existing field of study, or to develop a new area of expertise within the arts or humanities. Your choice includes, but is not limited to, history, philosophy, media and communications, English literature, peace studies, classical languages, writing, and a range of modern language and cultural studies.",Careers assisted through a Graduate Certificate in Arts include public and private sectors in fields such as: management and administrationforeign affairseducationbusinessfilm and theatrehuman resources.,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,University of New England,Armidale,Graduate Certificate in Arts,"Humanities, Arts, Social Sciences and Education","28,216","11,400",AUD,Years,4.0,Years,No,Yes,ATAR,,,,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fgraduate-certificate-in-arts&auth=2pYC%2B1IjKLQGZLKgAq5S3A&profile=_default&rank=4&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Are you a graduate looking to add new skills to your CV to reinforce or redirect your career? Perhaps you are keen to pursue a personal interest in the arts or humanities. Or maybe you are interested in completing a master’s but aren’t sure if you can commit to a full degree. If any of the above fits your situation, the Graduate Certificate in Arts may be the perfect course for you.Majors include: Ancient Greece, Ancient History, Ancient Near East, Ancient Rome, Archaeology, Chinese Studies, Classical Languages, English, Geography, German Studies, History, Italian Studies, Japanese Studies, Linguistics, Media and Communications, Medieval and Modern European Studies, Peace Studies, Philosophy, Political and International Studies, Sociology, Studies in Religion, Theatre and Performance, Water Sustainability and Writing.In addition, you will be trained to discover and process information, think independently, communicate effectively, and exercise initiative. Our course allows you to refine professional skills in an existing field of study, or to develop a new area of expertise within the arts or humanities. Your choice includes, but is not limited to, history, philosophy, media and communications, English literature, peace studies, classical languages, writing, and a range of modern language and cultural studies.",Careers assisted through a Graduate Certificate in Arts include public and private sectors in fields such as: management and administrationforeign affairseducationbusinessfilm and theatrehuman resources.,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MST,University of New England,Online,Master of Arts,"Humanities, Arts, Social Sciences and Education","28,216","11,900",AUD,Years,1.0,Year,Yes,Yes,ATAR,,,,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fmaster-of-arts&auth=gkECp7OWySEXWAhxKsn6iQ&profile=_default&rank=5&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Employers value skills in communication, critical thinking and research — the core skills you’ll develop in the Master of Arts at UNE. A master’s degree can be a qualification to enable a career change or provide you with additional expertise to upskill in your current area of interest. At UNE you have the flexibility to choose a major from more than 20 specialty areas, dive into research, and tailor the course to suit your interests or professional direction.Majors include: Ancient Greece, Ancient History, Ancient Near East, Ancient Rome, Archaeology, Chinese Studies, Classical World, English, Environmental Advocacy, French Studies, Geography, German Studies, History, Indonesian Studies, Italian Studies, Linguistics, Media and Communications, Medieval and Modern European Studies, Peace Studies, Philosophy, Political and International Studies, Sociology, Studies in Religion, Theatre and Performance, Water Sustainability and Writing. As a relatively unrestricted program of study, our Master of Arts allows you to refine your professional skills, or gain skills and knowledge in a new field. The flexible nature of the degree means you can select subjects that relate to your major, as well as units from a range of different areas. You can also immerse yourself in research to dive deeper into your chosen area of study.","Examples of careers that may be bolstered by a Master of Arts include, but are not limited to: public relationsforeign affairsoverseas aid and development agenciespolitical and social advocacyjournalismcriminal justice.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MST,University of New England,Armidale,Master of Arts,"Humanities, Arts, Social Sciences and Education","28,216","11,900",AUD,Years,1.0,Year,Yes,Yes,ATAR,,,,,,https://une-search.squiz.cloud/s/redirect?collection=une-push-meta&url=https%3A%2F%2Fwww.une.edu.au%2Fstudy%2Fcourses%2Fmaster-of-arts&auth=gkECp7OWySEXWAhxKsn6iQ&profile=_default&rank=5&query=%7C%5BStudyLevels%3A%22%24%2B%2B+Postgraduate+Research+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Foundation+Studies+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Bachelor+Honours+%24%2B%2B%22+StudyLevels%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22%5D+%21padrenull,English,A,"Employers value skills in communication, critical thinking and research — the core skills you’ll develop in the Master of Arts at UNE. A master’s degree can be a qualification to enable a career change or provide you with additional expertise to upskill in your current area of interest. At UNE you have the flexibility to choose a major from more than 20 specialty areas, dive into research, and tailor the course to suit your interests or professional direction.Majors include: Ancient Greece, Ancient History, Ancient Near East, Ancient Rome, Archaeology, Chinese Studies, Classical World, English, Environmental Advocacy, French Studies, Geography, German Studies, History, Indonesian Studies, Italian Studies, Linguistics, Media and Communications, Medieval and Modern European Studies, Peace Studies, Philosophy, Political and International Studies, Sociology, Studies in Religion, Theatre and Performance, Water Sustainability and Writing. As a relatively unrestricted program of study, our Master of Arts allows you to refine your professional skills, or gain skills and knowledge in a new field. The flexible nature of the degree means you can select subjects that relate to your major, as well as units from a range of different areas. You can also immerse yourself in research to dive deeper into your chosen area of study.","Examples of careers that may be bolstered by a Master of Arts include, but are not limited to: public relationsforeign affairsoverseas aid and development agenciespolitical and social advocacyjournalismcriminal justice.",Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
