Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE
CERTII,Holmesglen Institute,Melbourne,Certificate II in Applied Fashion Design and Technology,Arts and Design,NoIntFee,"4,680.00",AUD,Years,5.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology,English,D,"If you love fashion, working with fabric and design, and would like a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.",design assistantquality controllersewing machinist production support,Australia,No,Yes,No,Yes,No,,Normal,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Applied Fashion Design and Technology,Arts and Design,NoIntFee,"4,680.00",AUD,Years,23.0,Months,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology-VET-delivered-to-Secondary-School-Students,English,D,"If you love fashion, working with fabric and design and would like to progress to a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.","This course is a starting point if you are interested in further study and a career in the fashion design field, in a variety of different areas. These can include fashion design, pattern making and drafting, production, marketing or styling.",Australia,No,Yes,No,Yes,No,,Traineeship,No
BA,Holmesglen Institute,Melbourne,Bachelor of Fashion Design,Arts and Design,"18,800","15,964.30",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,,6.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Bachelor-of-Fashion-Design,English,A,"Holmesglen's Bachelor of Fashion Design is a cutting edge course for those who aspire to a career in the fast paced world of fashion. Innovative design is at the forefront of our delivery, underpinned by a comprehensive technical foundation in pattern engineering, garment construction and the application of CAD design tools.",Bachelor of Fashion graduates can apply for entry to relevant Masters or other post-graduate qualifications. Grade Point Average or other conditions may apply.,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Design Fundamentals,Arts and Design,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-III-in-Design-Fundamentals-VET-delivered-to-Secondary-Students,English,D,"This course provides you with an introduction to the practice of graphic design and prepares you to enter a wide range of art and design courses at certificate, diploma and degree level.",Design industry roles,Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Design,Arts and Design,"6,900","7,715.25",AUD,Years,5.0,Months,Yes,Yes,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-IV-in-Design,English,A,The Certificate IV in Design prepares post secondary-school students for further studies in art and design at diploma and degree level.,junior design roles,Australia,No,Yes,No,Yes,No,,Normal,No
DIP,Holmesglen Institute,Melbourne,Diploma of Graphic Design,Arts and Design,"13,800","11,793.50",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Diploma-of-Graphic-Design,English,A,"The Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.",freelance designer junior graphic designer production assistant,Australia,No,Yes,No,Yes,No,,Normal,No
ADIP,Holmesglen Institute,Melbourne,Advanced Diploma of Graphic Design,Arts and Design,"13,800","12,857.00",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Advanced-Diploma-of-Graphic-Design,English,A,"The Advanced Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.",freelance designergraphic designer,Australia,No,Yes,No,Yes,No,,Normal,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Interior Decoration Retail Services,Arts and Design,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-III-in-Interior-Decoration-Retail-Services-VET-Delivered-to-Secondary-School-Students,English,D,The Certificate III in Interior Decoration Retail Services is designed to develop the knowledge and skills in secondary school students required for the selection and coordination of interior furnishings and finishes in the decoration of domestic and commercial interiors.,Further study in interior design and decoration.,Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Interior Decoration,Arts and Design,"13,500","12,320.65",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-IV-in-Interior-Decoration,English,A,"The Certificate IV in Interior Decoration will prepare you for a range of interior design careers. Whether you want to decorate residential domestic interiors, retail interiors, commercial spaces or specialised rooms, this course will help you get there.",Interior decoration consultantSelf employment working directly with clientsInterior decoration consultant within the retail domestic environment,Australia,No,Yes,No,Yes,No,,Normal,No
CERTII,Holmesglen Institute,Melbourne,Certificate II in Printing and Graphic Arts (General),Arts and Design,NoIntFee,"6,400.50",AUD,Years,3.0,Months,Yes,No,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-II-in-Printing-and-Graphic-Arts-General-Pre-apprenticeship,English,D,"The Certificate II in Printing and Graphic Arts (General) is a pre-apprenticeship course which will give you an insight into the printing industry and provide you with the skills and knowledge you need for digital printing. It covers basic design, digital photography, customer service, digital printing systems and processes.",print apprenticeshipsprint manufacture apprenticeshipprint communications apprenticeship,Australia,No,Yes,No,Yes,No,,Pre-apprenticeship,Yes
CERTII,Holmesglen Institute,Melbourne,Certificate II in Printing and Graphic Arts (General),Arts and Design,NoIntFee,NoLocalFee,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-II-in-Printing-and-Graphic-Arts-General-VET-Delivered-to-Secondary-School-Students,English,D,"The Certificate II in Printing and Graphic Arts (General) provides secondary school students an insight into the printing industry and provides the skills and knowledge needed for digital printing. It covers basic design, digital photography, customer service, digital printing systems and processes.",digital printer lithographic printerflexographic printergravure printergraphic communications,Australia,No,Yes,No,Yes,No,,Traineeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Print Communications,Arts and Design,NoIntFee,"4,656.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Communications-Apprenticeship,English,D,The Certificate III in Print Communications is designed for employed apprentices who work in a digital design and output environment.,Digital media designermultimedia graphic designerassistant graphic artistmultimedia content authormultimedia designerprint finishing artistmultimedia production technicianpre-press operatorpre-press techniciandigital production controllerpre-press worker,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Workplace,Certificate III in Print Communications,Arts and Design,NoIntFee,"4,656.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Communications-Apprenticeship,English,D,The Certificate III in Print Communications is designed for employed apprentices who work in a digital design and output environment.,Digital media designermultimedia graphic designerassistant graphic artistmultimedia content authormultimedia designerprint finishing artistmultimedia production technicianpre-press operatorpre-press techniciandigital production controllerpre-press worker,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Print Manufacturing,Arts and Design,NoIntFee,"4,628.00",AUD,Years,3.0,Years,No,Yes,ATAR,IELTS,,Na,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Manufacturing-Apprenticeship,English,D,"The Certificate III in Print Manufacturing provides comprehensive training for printing manufacturing apprentices and covers all practical and theoretical aspects of the print manufacturing trade streams, such as finishing, binding, folding, gluing, cutting, embellishing and corrugating.",ink mixermail house production workerpaper products machinistprint finishersacks and bags maker,Australia,No,Yes,No,Yes,No,,Apprenticeship,No
