Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
DIP,Billy Blue College,Sydney,Diploma of Photography and Photo Imaging,College of Design,29400,24900,AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,English,A,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.","Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Australia,Yes,Yes,Yes,Yes,Yes,,DPPIDI100 DIGITAL IMAGING,,,DPPILL100 Light and Lighting,,,WIL100B Work Integrated Learning,,,DPPIVL100 Visual Language of Photography,,,DPPMD100 Media & Documentary  ,,,DPPIPP100 Post-production,,,DPPIDP100 DOMESTIC PORTRAITURE,,,DIG104A MOTION DESIGN,,,DPPIPR100 Professional Practice,,,DPPIFO100 FOLIO ,,,DPPICO200 Commercial Photography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Brisbane,Diploma of Photography and Photo Imaging,College of Design,29400,24900,AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,English,A,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.","Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Australia,Yes,Yes,Yes,Yes,Yes,,DPPIDI100 DIGITAL IMAGING,,,DPPILL100 Light and Lighting,,,WIL100B Work Integrated Learning,,,DPPIVL100 Visual Language of Photography,,,DPPMD100 Media & Documentary  ,,,DPPIPP100 Post-production,,,DPPIDP100 DOMESTIC PORTRAITURE,,,DIG104A MOTION DESIGN,,,DPPIPR100 Professional Practice,,,DPPIFO100 FOLIO ,,,DPPICO200 Commercial Photography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Melbourne,Diploma of Photography and Photo Imaging,College of Design,29400,24900,AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,English,A,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.","Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Australia,Yes,Yes,Yes,Yes,Yes,,DPPIDI100 DIGITAL IMAGING,,,DPPILL100 Light and Lighting,,,WIL100B Work Integrated Learning,,,DPPIVL100 Visual Language of Photography,,,DPPMD100 Media & Documentary  ,,,DPPIPP100 Post-production,,,DPPIDP100 DOMESTIC PORTRAITURE,,,DIG104A MOTION DESIGN,,,DPPIPR100 Professional Practice,,,DPPIFO100 FOLIO ,,,DPPICO200 Commercial Photography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Sydney,Diploma of Design,College of Design,29400,24000,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,English,A,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.","Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,DSO102 DESIGN STUDIO 1,,,DSO103 DESIGN STUDIO 2,,,WIL302 WORK INTEGRATED LEARNING,,,CDC101A TYPOGRAPHIC FUNDAMENTALS ,,,CIN100A DATA VISUALISATION ,,,CDC100A THINKING VISUALLY ,,,CDT101A TYPOGRAPHY 2,,,CIM100A DEVELOPING VISUAL VOCABULARY ,,,BID102A IDEAS AND INNOVATION IN DESIGN ,,,BID104A INTERIOR DESIGN PRACTICE,,,SED101 SPATIAL ENVIRONMENT DESIGN 1,,,MSP102 3D MODELLING FOR SPATIAL PROJECTS,,,BID108A SYSTEMS AND DOCUMENTATION 1,,,IDR207A SYSTEMS AND DOCUMENTATION 2 (RESIDENTIAL),,,FA101A FASHION ILLUSTRATION ,,,FA107A INTRODUCTION TO SHAPE & FORM ,,,FA104A INTRODUCTION TO BRANDED FASHION TECHNICAL DRAWING,,,FA108A FASHION STUDIO PRACTICE,,,FA106A FASHION VS CLOTHING ,,,"DIG100A EXPERIENCE, INTERFACE, INTERACTION ",,,DIG104A MOTION DESIGN ,,,"DIG101A TIME, SPACE, MOTION",,,DIG105A 3D DESIGN & ANIMATION ,,,DIG103A INTERACTION DESIGN ,,,DIG102A DRAWING FOR CONCEPT DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Brisbane,Diploma of Design,College of Design,29400,24000,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,English,A,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.","Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,DSO102 DESIGN STUDIO 1,,,DSO103 DESIGN STUDIO 2,,,WIL302 WORK INTEGRATED LEARNING,,,CDC101A TYPOGRAPHIC FUNDAMENTALS ,,,CIN100A DATA VISUALISATION ,,,CDC100A THINKING VISUALLY ,,,CDT101A TYPOGRAPHY 2,,,CIM100A DEVELOPING VISUAL VOCABULARY ,,,BID102A IDEAS AND INNOVATION IN DESIGN ,,,BID104A INTERIOR DESIGN PRACTICE,,,SED101 SPATIAL ENVIRONMENT DESIGN 1,,,MSP102 3D MODELLING FOR SPATIAL PROJECTS,,,BID108A SYSTEMS AND DOCUMENTATION 1,,,IDR207A SYSTEMS AND DOCUMENTATION 2 (RESIDENTIAL),,,FA101A FASHION ILLUSTRATION ,,,FA107A INTRODUCTION TO SHAPE & FORM ,,,FA104A INTRODUCTION TO BRANDED FASHION TECHNICAL DRAWING,,,FA108A FASHION STUDIO PRACTICE,,,FA106A FASHION VS CLOTHING ,,,"DIG100A EXPERIENCE, INTERFACE, INTERACTION ",,,DIG104A MOTION DESIGN ,,,"DIG101A TIME, SPACE, MOTION",,,DIG105A 3D DESIGN & ANIMATION ,,,DIG103A INTERACTION DESIGN ,,,DIG102A DRAWING FOR CONCEPT DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Melbourne,Diploma of Design,College of Design,29400,24000,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,English,A,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.","Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,DSO102 DESIGN STUDIO 1,,,DSO103 DESIGN STUDIO 2,,,WIL302 WORK INTEGRATED LEARNING,,,CDC101A TYPOGRAPHIC FUNDAMENTALS ,,,CIN100A DATA VISUALISATION ,,,CDC100A THINKING VISUALLY ,,,CDT101A TYPOGRAPHY 2,,,CIM100A DEVELOPING VISUAL VOCABULARY ,,,BID102A IDEAS AND INNOVATION IN DESIGN ,,,BID104A INTERIOR DESIGN PRACTICE,,,SED101 SPATIAL ENVIRONMENT DESIGN 1,,,MSP102 3D MODELLING FOR SPATIAL PROJECTS,,,BID108A SYSTEMS AND DOCUMENTATION 1,,,IDR207A SYSTEMS AND DOCUMENTATION 2 (RESIDENTIAL),,,FA101A FASHION ILLUSTRATION ,,,FA107A INTRODUCTION TO SHAPE & FORM ,,,FA104A INTRODUCTION TO BRANDED FASHION TECHNICAL DRAWING,,,FA108A FASHION STUDIO PRACTICE,,,FA106A FASHION VS CLOTHING ,,,"DIG100A EXPERIENCE, INTERFACE, INTERACTION ",,,DIG104A MOTION DESIGN ,,,"DIG101A TIME, SPACE, MOTION",,,DIG105A 3D DESIGN & ANIMATION ,,,DIG103A INTERACTION DESIGN ,,,DIG102A DRAWING FOR CONCEPT DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Sydney,Diploma of Interior Design and Decoration,College of Design,29400,24900,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,English,A,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.","Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,HDIDDP11414 Design Process 1 (Bespoke Decoration),,,DIDDDD100 DESIGN DRAWING,,,DIDDPK100 PRODUCT KNOWLEDGE,,,DSO102 Design Studio 1,,,HDIDMF14 Materials and Finishes,,,DIDDCC100 CONSTRUCTION AND CAD,,,HDIDIB14 Interior Built Environment,,,SED101 Spatial Environment Design,,,DIDDPP100 PROFESSIONAL PRACTICE,,,HDIDCD14 Commercial Design (Major Project),,,DIDDWL200 WORK INTEGRATED LEARNING (level 200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Brisbane,Diploma of Interior Design and Decoration,College of Design,29400,24900,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,English,A,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.","Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,HDIDDP11414 Design Process 1 (Bespoke Decoration),,,DIDDDD100 DESIGN DRAWING,,,DIDDPK100 PRODUCT KNOWLEDGE,,,DSO102 Design Studio 1,,,HDIDMF14 Materials and Finishes,,,DIDDCC100 CONSTRUCTION AND CAD,,,HDIDIB14 Interior Built Environment,,,SED101 Spatial Environment Design,,,DIDDPP100 PROFESSIONAL PRACTICE,,,HDIDCD14 Commercial Design (Major Project),,,DIDDWL200 WORK INTEGRATED LEARNING (level 200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Billy Blue College,Melbourne,Diploma of Interior Design and Decoration,College of Design,29400,24900,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,5.5,Year 12,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,English,A,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.","Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Australia,Yes,Yes,Yes,Yes,Yes,,HDIDDP11414 Design Process 1 (Bespoke Decoration),,,DIDDDD100 DESIGN DRAWING,,,DIDDPK100 PRODUCT KNOWLEDGE,,,DSO102 Design Studio 1,,,HDIDMF14 Materials and Finishes,,,DIDDCC100 CONSTRUCTION AND CAD,,,HDIDIB14 Interior Built Environment,,,SED101 Spatial Environment Design,,,DIDDPP100 PROFESSIONAL PRACTICE,,,HDIDCD14 Commercial Design (Major Project),,,DIDDWL200 WORK INTEGRATED LEARNING (level 200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Billy Blue College,Sydney,Bachelor of Communication Design,College of Design,88200,74700,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,6.0,Year 12,https://www.billyblue.edu.au/courses/communication-design/bachelor-of-communication-design,English,A,"Design has been a form of communication since the first cave painting and this degree continues that ancient tradition by focusing on the creation of visual messages, ideas and information for a range of audiences. This course has an emphasis on creativity, design thinking, collaborative practice and problem solving. You'll have the opportunity to complete a work placement before you graduate, we'll even introduce you to some of our industry partners.What’s so amazing about this course is you develop core communications skills, but now with a new revised elective structure you can specialise in UX and UI, Film and Video, Photography or 3D Design and Animation. This elective structure will open new career pathways extending beyond traditional studio or agency opportunities. Design Institute Australia recognised course.","Illustrator, Brand & Identity Designer, Graphic Designer, Packaging Designer,, Art Director",Australia,Yes,Yes,Yes,Yes,Yes,,DGDDD100- Digital Design Foundations,,,DGDVL100- Visual Language of Design,,,DSO102- Design Studio 1,,,DGDTY100- Typography,,,DSO103- Design Studio 2,,,DGDPM100- Publishing and Media,,,DSO201 DESIGN STUDIO 3,,,"CDC200A MESSAGE, MEANING, MEDIA ",,,PBL202 PROBLEM BASED LEARNING STUDIO,,,CTY201A TYPOGRAPHIC SYSTEMS,,,"DDD203 DISCOVER, DEFINE, DEVELOP, DELIVER",,,CDC300A CULTURE OF CHANGE ,,,SEN301 SOCIAL ENTERPRISE,,,CDM301A MAJOR PROJECT,,,CPK301A PACKAGING AND BRANDING ,,,WIL302 WORK INTEGRATED LEARNING ,,,CDM303A PORTFOLIO ,,,CDC301A BUSINESS BY DESIGN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Billy Blue College,Brisbane,Bachelor of Communication Design,College of Design,88200,74700,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,6.0,Year 12,https://www.billyblue.edu.au/courses/communication-design/bachelor-of-communication-design,English,A,"Design has been a form of communication since the first cave painting and this degree continues that ancient tradition by focusing on the creation of visual messages, ideas and information for a range of audiences. This course has an emphasis on creativity, design thinking, collaborative practice and problem solving. You'll have the opportunity to complete a work placement before you graduate, we'll even introduce you to some of our industry partners.What’s so amazing about this course is you develop core communications skills, but now with a new revised elective structure you can specialise in UX and UI, Film and Video, Photography or 3D Design and Animation. This elective structure will open new career pathways extending beyond traditional studio or agency opportunities. Design Institute Australia recognised course.","Illustrator, Brand & Identity Designer, Graphic Designer, Packaging Designer,, Art Director",Australia,Yes,Yes,Yes,Yes,Yes,,DGDDD100- Digital Design Foundations,,,DGDVL100- Visual Language of Design,,,DSO102- Design Studio 1,,,DGDTY100- Typography,,,DSO103- Design Studio 2,,,DGDPM100- Publishing and Media,,,DSO201 DESIGN STUDIO 3,,,"CDC200A MESSAGE, MEANING, MEDIA ",,,PBL202 PROBLEM BASED LEARNING STUDIO,,,CTY201A TYPOGRAPHIC SYSTEMS,,,"DDD203 DISCOVER, DEFINE, DEVELOP, DELIVER",,,CDC300A CULTURE OF CHANGE ,,,SEN301 SOCIAL ENTERPRISE,,,CDM301A MAJOR PROJECT,,,CPK301A PACKAGING AND BRANDING ,,,WIL302 WORK INTEGRATED LEARNING ,,,CDM303A PORTFOLIO ,,,CDC301A BUSINESS BY DESIGN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Billy Blue College,Melbourne,Bachelor of Communication Design,College of Design,88200,74700,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,6.0,Year 12,https://www.billyblue.edu.au/courses/communication-design/bachelor-of-communication-design,English,A,"Design has been a form of communication since the first cave painting and this degree continues that ancient tradition by focusing on the creation of visual messages, ideas and information for a range of audiences. This course has an emphasis on creativity, design thinking, collaborative practice and problem solving. You'll have the opportunity to complete a work placement before you graduate, we'll even introduce you to some of our industry partners.What’s so amazing about this course is you develop core communications skills, but now with a new revised elective structure you can specialise in UX and UI, Film and Video, Photography or 3D Design and Animation. This elective structure will open new career pathways extending beyond traditional studio or agency opportunities. Design Institute Australia recognised course.","Illustrator, Brand & Identity Designer, Graphic Designer, Packaging Designer,, Art Director",Australia,Yes,Yes,Yes,Yes,Yes,,DGDDD100- Digital Design Foundations,,,DGDVL100- Visual Language of Design,,,DSO102- Design Studio 1,,,DGDTY100- Typography,,,DSO103- Design Studio 2,,,DGDPM100- Publishing and Media,,,DSO201 DESIGN STUDIO 3,,,"CDC200A MESSAGE, MEANING, MEDIA ",,,PBL202 PROBLEM BASED LEARNING STUDIO,,,CTY201A TYPOGRAPHIC SYSTEMS,,,"DDD203 DISCOVER, DEFINE, DEVELOP, DELIVER",,,CDC300A CULTURE OF CHANGE ,,,SEN301 SOCIAL ENTERPRISE,,,CDM301A MAJOR PROJECT,,,CPK301A PACKAGING AND BRANDING ,,,WIL302 WORK INTEGRATED LEARNING ,,,CDM303A PORTFOLIO ,,,CDC301A BUSINESS BY DESIGN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Billy Blue College,Sydney,Bachelor of 3D Design and Animation,College of Design,88200,74700,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF level,No ATAR needed,6.0,Year 12,https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-media-3d-design?id=79,English,A,"This course was previously titled ‘Bachelor of Digital Media (3D Design and Animation)’ with CRICOS code 090297K. The name has recently changed as part of Billy Blue at Torrens University Australia's continuous improvement process to more accurately describe the course content and industry outcomes that result from it.You might have noticed they’re doing some fairly incredible things in the cartoon space these days, and you could join them! The first thing you’ll learn is not to call it ‘the cartoon space’. After that, you’ll be invited into a cartoon space of modelling, rigging, giant mallets, animation, texturing, dropping safes on people, lighting, composition and rolling your eyes at dusty old gags. In addition, you’ll be at the edge’s edge of what’s happening in VR / AR – which, between us, is so exciting you won’t be able to keep up your cool retro-mirrorshades attitude. We see you, Spike Spiegel. All that, and in your final year you can apply for an internship with a professional 3D design and animation studio, with the chance to work on live projects for a real-world client. Not a cartoon client. Design Institute Australia recognised course.","2D/3D Concept artist, 3D Animator, 3D Games artist, 3D Generalist, 3D Modeller, Environment Designer, Previsualisation (previz) Artist, Visual Effects (VFX) Artist",Australia,Yes,Yes,Yes,Yes,Yes,,ACR103- 3D Asset Creation,,,ACR101- 2D Asset Creation,,,DSO102- Design Studio 1,,,B3DANP100- Animation Principles,,,BCI100- Beyond the Creative Industries,,,DSO103- Design Studio 2,,,DSO201- Design Studio 3,,,B3DHSE200- Hard Surface & Environment Modelling ,,,B3DPGW200- Procedural Geometry and Workflow,,,PBL202- Problem Based Learning ,,,ANI203- Animation,,,AAC202- Advanced 3D Asset Creation,,,"DDD203- Discover, Define, Develop, Deliver",,,SEN301- Social Enterprise,,,B3DLLD300- Lighting & Look Development ,,,B3DRTA300- Real Time Animation Production ,,,CDM301A- Major Project,,,WIL302- Work Integrated Learning ,,,CDM303A- Portfolio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
